# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.55435       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.505819e+01	(2.783819e-02 1.511482e-02 1.100000e-02)	1
1.55435       	p_rgh         	1.676825e+03	(3.375817e-02 1.428351e-02 1.100000e-02)	1	7.052473e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55435       	omega         	1.330455e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55474       	U             	(-1.599220e+00 -1.606728e-02 -1.629233e-26)	(2.371045e-02 1.365061e-02 1.100000e-02)	1	(1.164261e+01 1.160672e+00 1.302718e-27)	(7.168677e-03 1.824380e-02 1.100000e-02)	0
1.55474       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.674466e+01	(3.132992e-02 1.501367e-02 1.100000e-02)	1
1.55474       	p_rgh         	1.667149e+03	(3.406384e-02 1.405170e-02 1.100000e-02)	1	7.048909e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55474       	omega         	1.331227e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55512       	U             	(-3.621613e+00 -6.176490e-01 -1.155309e-26)	(3.467155e-02 1.335260e-02 1.100000e-02)	1	(1.166194e+01 1.131644e+00 1.171033e-27)	(7.168677e-03 1.824380e-02 1.100000e-02)	0
1.55512       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.302985e+01	(3.133415e-02 1.512781e-02 1.100000e-02)	1
1.55512       	p_rgh         	1.664593e+03	(3.436046e-02 1.352778e-02 1.100000e-02)	1	7.044250e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55512       	omega         	1.332034e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.5555        	U             	(-1.427971e+00 1.708824e-02 -1.331930e-28)	(1.788975e-02 1.540074e-02 1.100000e-02)	0	(1.114588e+01 2.981368e+00 5.726390e-27)	(-1.071475e-04 1.762649e-02 1.100000e-02)	2
1.5555        	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273384e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.5555        	p_rgh         	1.657906e+03	(3.564602e-02 1.367833e-02 1.100000e-02)	1	7.039221e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.5555        	omega         	1.332875e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55589       	U             	(-2.275379e+00 -3.989862e-01 -2.419711e-27)	(3.724605e-02 1.263209e-02 1.100000e-02)	1	(1.222887e+01 1.366911e+00 8.644143e-28)	(7.077043e-03 2.028462e-02 1.100000e-02)	0
1.55589       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.424758e+01	(2.814491e-02 1.574971e-02 1.100000e-02)	1
1.55589       	p_rgh         	1.647680e+03	(3.629319e-02 1.359785e-02 1.100000e-02)	1	7.034431e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55589       	omega         	1.333750e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55628       	U             	(-2.656949e+00 -5.650279e-02 -9.358495e-28)	(3.823727e-02 1.228780e-02 1.100000e-02)	1	(1.219037e+01 1.422142e+00 8.319301e-28)	(7.077043e-03 2.028462e-02 1.100000e-02)	0
1.55628       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.273391e+01	(-1.505568e-01 1.059942e-05 1.100000e-02)	4
1.55628       	p_rgh         	1.636872e+03	(3.728667e-02 1.374814e-02 1.100000e-02)	1	7.029901e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
1.55628       	omega         	1.334658e+02	(1.107815e+00 -9.498676e-02 1.100000e-02)	9	5.430720e+05	(8.844358e-03 1.555013e-02 1.100000e-02)	0
1.55667       	U             	(-2.887444e+00 -8.017444e-02 -1.184329e-27)	(3.959004e-02 1.200437e-02 1.100000e-02)	1	(1.108442e+01 2.988873e+00 5.601893e-27)	(-1.071475e-04 1.762649e-02 1.100000e-02)	2
1.55667       	k             	2.922230e-04	(1.561886e-02 1.468819e-02 1.100000e-02)	0	1.393087e+01	(3.502690e-02 1.434033e-02 1.100000e-02)	1
1.55667       	p_rgh         	1.659107e+03	(3.629636e-02 1.368449e-02 1.100000e-02)	1	7.025563e+04	(1.111600e+00 -9.690407e-03 1.100000e-02)	8
